g = m/s²
Experimental Value of acceleration	Accepted Value of acceleration
9.803243		9.803
Percent Error	-1.419285
Position (m),	Time (s)
-30.567342,	0.093800
-31.183020,	0.094000
-31.835638,	0.094200
-32.439002,	0.094400
-33.054680,	0.094600
-33.694984,	0.094800
-34.322975,	0.095000
-34.938653,	0.095200
-35.554330,	0.095400
-36.182321,	0.095600
-36.933448,	0.095800
-37.450617,	0.096000
-38.090922,	0.096200
-38.706599,	0.096400
-39.322276,	0.096600
-39.962581,	0.096800
-40.639826,	0.097000
-41.267817,	0.097200
-41.834240,	0.097400
-42.499172,	0.097600
-43.127163,	0.097800
-43.742840,	0.098000
-44.383145,	0.098200
-45.011135,	0.098400
-45.663753,	0.098600
-46.267117,	0.098800
-46.907422,	0.099000
-47.584667,	0.099200
-48.163403,	0.099400
-48.803708,	0.099600
-49.468639,	0.099800
-50.121257,	0.100000
-50.712307,	0.100200
-51.340298,	0.100400
-51.992916,	0.100600
-52.633220,	0.100800
-53.261211,	0.101000
-53.901515,	0.101200
-54.566446,	0.101400
-55.169810,	0.101600
-55.810114,	0.101800
-56.487359,	0.102000
-57.103036,	0.102200
-57.743341,	0.102400
-59.011636,	0.102600
-59.060890,	0.102800
-59.664253,	0.103000
-60.304557,	0.103200
-60.957175,	0.103400
-61.585166,	0.103600
-62.213156,	0.103800
-62.878088,	0.104000
-63.555332,	0.104200
-64.171010,	0.104400
-64.811314,	0.104600
-65.537813,	0.104800
-66.091922,	0.105000
-66.744540,	0.105200
-67.409471,	0.105400
-68.037461,	0.105600
-68.665452,	0.105800
-69.330383,	0.106000
-69.995314,	0.106200
-70.672559,	0.106400
-71.275922,	0.106600
-71.953167,	0.106800
-72.728920,	0.107000
-73.221461,	0.107200
-73.886392,	0.107400
-74.526696,	0.107600
-75.203941,	0.107800
-75.831931,	0.108000
-76.521490,	0.108200
-77.124853,	0.108400
-77.826725,	0.108600
-78.454715,	0.108800
-79.119646,	0.109000
-79.833831,	0.109200
-80.437195,	0.109400
-81.052871,	0.109600
-81.717802,	0.109800
-82.382733,	0.110000
-83.047664,	0.110200
-83.663341,	0.110400
-84.328272,	0.110600
-85.042457,	0.110800
-85.658134,	0.111000
-86.310751,	0.111200
-86.938742,	0.111400
-87.603673,	0.111600
-88.280917,	0.111800
-88.945848,	0.112000
-89.647720,	0.112200
-90.312650,	0.112400
-90.928327,	0.112600
-91.593258,	0.112800
-92.245875,	0.113000
-92.935433,	0.113200
-93.563424,	0.113400
-94.265295,	0.113600
-94.917912,	0.113800
-95.582843,	0.114000
-96.223147,	0.114200
-96.912705,	0.114400
-97.589949,	0.114600
-98.242567,	0.114800
-98.895184,	0.115000
-99.547801,	0.115200
-100.225045,	0.115400
-101.086993,	0.115600
-101.542594,	0.115800
-102.232151,	0.116000
-102.897082,	0.116200
-103.549699,	0.116400
-104.214630,	0.116600
-104.891874,	0.116800
-105.593746,	0.117000
-106.246363,	0.117200
-106.898980,	0.117400
-107.600852,	0.117600
-108.302723,	0.117800
-108.943027,	0.118000
-109.595644,	0.118200
-110.260575,	0.118400
-110.937819,	0.118600
-111.652004,	0.118800
-112.329248,	0.119000
-112.969551,	0.119200
-113.634482,	0.119400
-114.324040,	0.119600
-115.001284,	0.119800
-115.641588,	0.120000
-116.331146,	0.120200
-117.069957,	0.120400
-117.673320,	0.120600
-118.362878,	0.120800
-119.027809,	0.121000
-119.741994,	0.121200
-120.406924,	0.121400
-121.108795,	0.121600
-121.736786,	0.121800
-122.524852,	0.122000
-123.115901,	0.122200
-123.817772,	0.122400
-124.482703,	0.122600
-125.184574,	0.122800
-125.923386,	0.123000
-126.539062,	0.123200
-127.203993,	0.123400
-127.930491,	0.123600
-128.607735,	0.123800
-129.272666,	0.124000
-129.949910,	0.124200
-130.651781,	0.124400
-131.329026,	0.124600
-132.006270,	0.124800
-132.708141,	0.125000
-133.385385,	0.125200
-134.062629,	0.125400
-134.801441,	0.125600
-135.454058,	0.125800
-136.118989,	0.126000
-136.894741,	0.126200
-137.522731,	0.126400
-138.212289,	0.126600
-138.889533,	0.126800
-139.579090,	0.127000
-140.317902,	0.127200
-140.982833,	0.127400
-141.672390,	0.127600
-142.361948,	0.127800
-143.026878,	0.128000
-144.085842,	0.128200
-144.430621,	0.128400
-145.132492,	0.128600
-145.809736,	0.128800
-146.523921,	0.129000
-147.262732,	0.129200
-147.915350,	0.129400
-148.604907,	0.129600
-149.306778,	0.129800
-149.971709,	0.130000
-150.673580,	0.130200
-151.375451,	0.130400
-152.089636,	0.130600
-152.816134,	0.130800
-153.505692,	0.131000
-154.170622,	0.131200
-154.860180,	0.131400
-155.525110,	0.131600
-156.251609,	0.131800
-156.953480,	0.132000
-157.667664,	0.132200
-158.369536,	0.132400
-159.059093,	0.132600
-159.773278,	0.132800
-160.462836,	0.133000
-161.127766,	0.133200
-161.829637,	0.133400
-162.556135,	0.133600
-163.294947,	0.133800
-163.959878,	0.134000
-164.661749,	0.134200
-165.388247,	0.134400
-166.077805,	0.134600
-166.779676,	0.134800
-167.456920,	0.135000
-168.195732,	0.135200
-168.897603,	0.135400
-169.574847,	0.135600
-170.301345,	0.135800
-171.003216,	0.136000
-171.717401,	0.136200
-173.047262,	0.136400
-173.108830,	0.136600
-173.798388,	0.136800
-174.537199,	0.137000
-175.263698,	0.137200
-175.977882,	0.137400
-176.667440,	0.137600
-177.393938,	0.137800
-178.058869,	0.138000
-178.797681,	0.138200
-179.585747,	0.138400
-180.201423,	0.138600
-180.940235,	0.138800
-181.654420,	0.139000
-182.405545,	0.139200
-183.070476,	0.139400
-183.784660,	0.139600
-184.498845,	0.139800
-185.200716,	0.140000
-185.927215,	0.140200
-186.776848,	0.140400
-187.404838,	0.140600
-188.045142,	0.140800
-188.771640,	0.141000
-189.510452,	0.141200
-190.261577,	0.141400
-190.963449,	0.141600
-191.689947,	0.141800
-192.379505,	0.142000
-193.106003,	0.142200
-193.881755,	0.142400
-194.546686,	0.142600
-195.260871,	0.142800
-195.975056,	0.143000
-196.726181,	0.143200
-197.391112,	0.143400
-198.142237,	0.143600
-198.881049,	0.143800
-199.570607,	0.144000
-200.309419,	0.144200
-201.011290,	0.144400
-201.799356,	0.144600
-202.513541,	0.144800
-203.190785,	0.145000
-203.929597,	0.145200
-204.643782,	0.145400
-205.357967,	0.145600
-206.133720,	0.145800
-206.810964,	0.146000
-207.549776,	0.146200
-208.227020,	0.146400
-208.978146,	0.146600
-209.729271,	0.146800
-210.468083,	0.147000
-211.194582,	0.147200
-211.884140,	0.147400
-212.622952,	0.147600
-213.349450,	0.147800
-214.088262,	0.148000
-214.827074,	0.148200
-215.565886,	0.148400
-216.317012,	0.148600
-216.981943,	0.148800
-217.733069,	0.149000
-218.508821,	0.149200
-219.186066,	0.149400
-219.912564,	0.149600
-220.676003,	0.149800
-221.414816,	0.150000
-222.202882,	0.150200
-222.855499,	0.150400
